Hour,Temperature,Energy
4525,23.899241252554173,2000
4526,23.898766664188734,2000
4527,23.898328505272147,2000
4528,23.898294657465485,2000
4529,23.898418936816096,2000
4530,23.898506707355292,2000
4531,23.62042513710544,2000
4532,22.37803208489819,2000
4533,22.873494320504015,2000
4534,22.439307136986525,2000
4535,22.174960889722474,2000
4536,21.917296585261823,2000
4537,21.663328676339653,2000
4538,21.483650182765256,1000
4539,21.388172932362387,1000
4540,21.28224593096604,1000
4541,21.243431438251417,1000
4542,21.344347257062203,1000
4543,22.200151186504943,2000
4544,22.19890223484729,2000
4545,23.182417015442894,2000
4546,23.8982510359192,2000
4547,23.89803175991668,2000
4548,23.898413800664933,2000
4549,23.89906130286005,2000
4550,23.898684817707803,2000
4551,23.89832863182944,2000
4552,23.89837303334974,2000
4553,23.89847873436077,2000
4554,23.89856508695791,2000
4555,23.253730206706173,2000
4556,22.201161736704606,2000
4557,22.078003141106652,2000
4558,21.423599618378013,1000
4559,20.967043563645476,1000
4560,20.643883396370803,1000
4561,20.447756810119657,1000
4562,20.33068833991271,1000
4563,20.217568457675192,1000
4564,20.161038497036508,1000
4565,20.18056833294395,1000
4566,20.33773537001779,1000
4567,22.200831876742484,2000
4568,22.19978582985704,2000
4569,23.170240831180603,2000
4570,23.898317031819314,2000
4571,23.898146904849863,2000
4572,23.898489544957734,2000
4573,23.89902158545642,2000
4574,23.898748324090413,2000
4575,23.898479612232126,2000
4576,23.898473392747903,2000
4577,23.898511891320226,2000
4578,23.89851856815835,2000
4579,22.991886046676207,2000
4580,22.201166441873465,2000
4581,22.245167276793346,2000
4582,21.879603044493972,2000
4583,21.632027306805863,2000
4584,21.424805146367095,1000
4585,21.278266087901223,1000
4586,21.173006592594085,1000
4587,21.094488438208206,1000
4588,21.034350799411868,1000
4589,21.028679987567617,1000
4590,21.149119290743702,1000
4591,22.19996748706806,2000
4592,22.201475518039388,2000
4593,23.08685636186111,2000
4594,23.89839752307317,2000
4595,23.89798660197418,2000
4596,23.898341448563684,2000
4597,23.899075013737693,2000
4598,23.898713312640034,2000
4599,23.898321425672297,2000
4600,23.898264817107894,2000
4601,23.898420960229746,2000
4602,23.898495185597437,2000
4603,23.59415886117489,2000
4604,22.290080104468597,2000
4605,22.839708791446057,2000
4606,22.412235675176245,2000
4607,22.019056329013985,2000
4608,21.803083685300848,2000
4609,21.603157694224826,2000
4610,21.350711222498006,1000
4611,21.1326798940862,1000
4612,20.95360502233803,1000
4613,20.905409294111315,1000
4614,21.065878380560566,1000
4615,22.20159154719813,2000
4616,22.199773507012555,2000
4617,23.12905431319807,2000
4618,23.898153882130014,2000
4619,23.898042143444528,2000
4620,23.898386341930067,2000
4621,23.899057400062677,2000
4622,23.8986610495002,2000
4623,23.898380962809515,2000
4624,23.898422087764278,2000
4625,23.89842057655992,2000
4626,23.898492087044698,2000
4627,23.605402155046313,2000
4628,22.294552714065137,2000
4629,22.824661849341897,2000
4630,22.393606734299745,2000
4631,22.117439445260715,2000
4632,21.85329153147436,2000
4633,21.89302079591777,2000
4634,21.726373941819094,2000
4635,21.535727828055652,2000
4636,21.36017809986195,1000
4637,21.252604631092925,1000
4638,21.44460578114309,1000
4639,21.953826801297385,2000
4640,22.67835359217525,2000
4641,23.454975980609237,2000
4642,24.107161386671596,2000
4643,24.65022649724171,2000
4644,25.136867128636574,2000
4645,25.498178316863697,2000
4646,25.765329907418284,2000
4647,25.9880439160262,2000
4648,26.044492061271235,2000
4649,25.882033191950963,2000
4650,25.390737169646393,2000
4651,24.678261948972587,2000
4652,23.90072538418857,2000
4653,23.250504403133974,2000
4654,22.7455433616317,2000
4655,22.295269318555707,2000
4656,21.93389854769909,2000
4657,21.674284554923858,2000
4658,21.45505076232937,1000
4659,21.254539322540335,1000
4660,21.11298482629977,1000
4661,21.11629826797044,1000
4662,21.34742631669255,1000
4663,21.779593371442147,2000
4664,22.39690009770966,2000
4665,23.057851168441736,2000
4666,23.684963615768694,2000
4667,24.218049262895512,2000
4668,24.519227505256353,2000
4669,24.769776728861086,2000
4670,24.948267784671394,2000
4671,25.202438442456483,2000
4672,25.260766940295685,2000
4673,24.934082857452164,2000
4674,24.427246927137034,2000
4675,23.76780159178771,2000
4676,23.135746257065705,2000
4677,22.608584760168394,2000
4678,22.27326133926055,2000
4679,22.038405627130327,2000
4680,21.89752029485927,2000
4681,21.44610646104255,1000
4682,21.2465384255166,1000
4683,21.06338410350866,1000
4684,20.899083929657206,1000
4685,20.831622743777903,1000
4686,21.080891423198075,1000
4687,22.199952546713163,2000
4688,22.200768030129392,2000
4689,23.82957347837653,2000
4690,23.89798798853803,2000
4691,23.898048839165213,2000
4692,23.89846769768634,2000
4693,23.89916011302279,2000
4694,23.898685354652077,2000
4695,23.898339064422935,2000
4696,23.898392006922386,2000
4697,23.898545011896932,2000
4698,23.898571533550594,2000
4699,23.878646970773097,2000
4700,22.422054050676458,2000
4701,22.862465430932648,2000
4702,22.46721601817284,2000
4703,22.315639382866497,2000
4704,22.211739442823486,2000
4705,21.948629004165596,2000
4706,21.711110365100154,2000
4707,21.65307490128542,2000
4708,21.61413451231389,2000
4709,21.62048235213033,2000
